City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,souillac,-20.5167,57.5167,300.36,83,75,0.0,MU,1712587014
152,atbasar,51.8,68.3333,278.54,94,91,4.25,KZ,1712587014
153,miasskoye,55.2784,61.8905,277.84,81,99,3.25,RU,1712587015
154,constantia,44.1833,28.65,294.65,69,0,3.05,RO,1712586742
155,hakui,36.8833,136.7833,286.6,97,100,2.44,JP,1712587016
156,cochrane,51.1834,-114.4687,278.63,48,0,1.54,CA,1712586907
157,dhidhdhoo,6.8833,73.1,302.52,71,0,1.67,MV,1712586958
158,cova figueira,14.8905,-24.2934,291.26,72,14,6.86,CV,1712587017
159,bathsheba,13.2167,-59.5167,303.49,66,20,5.66,BB,1712587017
160,pueblo west,38.35,-104.7227,281.24,50,64,0.32,US,1712587018
161,victoria,22.2855,114.1577,297.77,90,59,2.68,HK,1712586639
162,krasnozerskoye,53.9828,79.2374,282.06,76,98,3.92,RU,1712587019
163,saint peters,38.8003,-90.6265,293.38,41,63,1.34,US,1712586721
164,turbat,26.0023,63.044,304.62,16,7,7.81,PK,1712587019
165,ormara,25.2088,64.6357,299.25,74,2,6.3,PK,1712587020
166,puerto armuelles,8.2833,-82.8667,302.14,71,98,1.34,PA,1712587021
167,dzhalil',55.0239,52.7358,275.44,96,100,6.42,RU,1712586741
168,hermanus,-34.4187,19.2345,290.26,95,100,9.42,ZA,1712587021
169,weno,7.4515,151.8468,302.12,89,100,4.12,FM,1712587022
170,sisimiut,66.9395,-53.6735,268.42,76,72,3.14,GL,1712587022
171,serdar,38.9764,56.2757,295.71,35,93,1.54,TM,1712587023
172,kone,-21.0595,164.8658,295.3,94,0,1.88,NC,1712587023
173,praia da vitoria,38.7333,-27.0667,290.79,88,75,5.12,PT,1712587023
174,arsen'yev,44.1631,133.2733,270.19,38,0,1.1,RU,1712587024
175,kudahuvadhoo,2.6708,72.8944,302.54,67,80,1.21,MV,1712587024
176,kodiak,57.79,-152.4072,271.88,86,100,2.06,US,1712587025
177,puerto deseado,-47.7503,-65.8938,282.98,59,8,10.17,AR,1712587025
178,mudanya,40.3753,28.8822,290.14,53,17,5.13,TR,1712587026
179,tierra colorada,17.1667,-99.5833,295.46,37,17,0.97,MX,1712587026
180,fomboni,-12.28,43.7425,302.48,77,100,4.19,KM,1712587026
181,acarau,-2.8856,-40.12,301.34,79,62,2.05,BR,1712587027
182,pocone,-16.2567,-56.6228,306.19,51,62,3.58,BR,1712587027
183,kousa,25.9141,32.7636,303.2,14,0,6.63,EG,1712587028
184,buala,-8.145,159.5921,300.27,85,100,2.3,SB,1712587028
185,suntar,62.1444,117.6319,269.02,95,100,3.72,RU,1712587029
186,manokwari,-0.8667,134.0833,298.86,84,98,5.13,ID,1712587029
187,ancient oaks,40.5473,-75.5893,288.36,42,39,0.45,US,1712587030
188,port augusta,-32.5,137.7667,288.98,74,21,9.22,AU,1712587030
189,binzhou,37.3667,118.0167,282.32,32,52,5.02,CN,1712587030
190,belmonte,-15.8631,-38.8828,302.45,61,79,4.18,BR,1712587031
191,vilyuysk,63.7553,121.6247,266.48,96,100,2.68,RU,1712587031
192,mamuju,-2.6748,118.8885,299.65,90,100,1.78,ID,1712587032
193,arenapolis,-14.4503,-56.8461,304.08,57,98,1.68,BR,1712587032
194,tazovsky,67.4667,78.7,262.07,94,69,4.55,RU,1712586738
195,phan rang-thap cham,11.5667,108.9833,298.11,87,12,1.64,VN,1712587033
196,port elizabeth,-33.918,25.5701,294.87,83,55,6.58,ZA,1712586899
197,boa vista,2.8197,-60.6733,303.14,54,20,8.23,BR,1712587034
198,richards bay,-28.783,32.0377,297.24,71,73,5.92,ZA,1712587034
199,wailua homesteads,22.0669,-159.378,294.59,88,75,5.14,US,1712587034
200,jwaneng,-24.6004,24.7303,295.94,64,86,8.03,BW,1712587035
201,chonchi,-42.6128,-73.8092,283.71,84,80,2.87,CL,1712586754
202,tralee,52.2704,-9.7026,281.29,87,75,4.12,IE,1712587036
203,wuxue,29.8506,115.5525,287.51,89,100,3.28,CN,1712587036
204,baruun-urt,46.6806,113.2792,276.93,40,27,3.87,MN,1712587037
205,ilulissat,69.2167,-51.1,266.16,79,20,2.06,GL,1712587037
206,katabu,-4.9333,122.5167,298.36,94,100,0.58,ID,1712587037
207,new norfolk,-42.7826,147.0587,281.88,70,68,1.88,AU,1712587038
208,el granada,37.5027,-122.4694,285.03,88,20,0.0,US,1712587038
209,taghazout,30.5426,-9.7112,298.58,39,3,7.53,MA,1712586800
210,magistral'nyy,56.1725,107.4458,267.24,87,56,1.96,RU,1712587040
211,codrington,-38.2667,141.9667,285.93,58,36,7.86,AU,1712586891
212,peniche,39.3558,-9.3811,291.09,73,32,9.48,PT,1712586892
213,sabha,27.0377,14.4283,303.22,6,0,3.55,LY,1712587041
214,st. john's,47.5649,-52.7093,273.69,95,100,9.39,CA,1712586990
215,mugia,43.1041,-9.2179,287.54,67,7,10.43,ES,1712587042
216,labytnangi,66.6572,66.4183,260.03,81,13,3.75,RU,1712587042
217,cabo san lucas,22.8909,-109.9124,292.88,71,70,4.92,MX,1712586943
218,forecariah,9.4306,-13.0881,309.81,35,7,4.59,GN,1712587043
219,khorixas,-20.3667,14.9667,301.1,10,2,6.02,NA,1712587044
220,urangan,-25.3,152.9,295.48,98,66,3.58,AU,1712587044
221,catriel,-37.8791,-67.7956,299.4,23,98,5.55,AR,1712586890
222,portland,45.5234,-122.6762,280.79,92,81,2.68,US,1712587011
223,cidade velha,14.9167,-23.6167,299.41,53,40,11.83,CV,1712587046
224,geraldton,-28.7667,114.6,302.38,21,0,9.77,AU,1712587046
225,frontera,26.9333,-101.45,294.76,40,75,0.89,MX,1712587046
226,bourg-les-valence,44.956,4.9102,299.32,41,0,10.29,FR,1712587047
227,winnemucca,40.973,-117.7357,268.18,93,0,1.54,US,1712587047
228,nur-sultan,51.1801,71.446,280.12,100,40,3.0,KZ,1712586848
229,prince rupert,54.3161,-130.3201,278.98,87,100,12.35,CA,1712586801
230,mount gambier,-37.8333,140.7667,283.39,69,59,3.48,AU,1712587048
231,nova vicosa,-17.8919,-39.3719,302.03,63,80,3.69,BR,1712587049
232,tabora,-5.0167,32.8,296.03,78,20,6.17,TZ,1712587050
233,nuku'alofa,-21.1333,-175.2,298.34,88,20,4.63,TO,1712587050
234,hotan,37.0997,79.9269,290.52,14,0,4.7,CN,1712587050
235,sangju,36.4153,128.1606,287.56,59,100,1.22,KR,1712587051
236,nantucket,41.2835,-70.0995,284.21,59,0,4.12,US,1712586771
237,kavieng,-2.5744,150.7967,299.32,87,100,3.36,PG,1712587052
238,college,64.8569,-147.8028,270.33,83,75,1.54,US,1712586622
239,bontang,0.1333,117.5,300.28,87,75,5.97,ID,1712587053
240,kavaratti,10.5669,72.642,302.75,67,26,3.63,IN,1712587053
241,alo,7.4178,6.7371,307.58,47,91,5.91,NG,1712587054
242,giado,31.9582,12.0203,302.96,7,76,3.77,LY,1712587054
243,klyuchi,52.2667,79.1667,286.11,55,100,1.57,RU,1712587055
244,penzance,50.1186,-5.5371,284.77,82,75,12.35,GB,1712587055
245,bodrum,37.0383,27.4292,297.11,47,46,6.46,TR,1712586923
246,conde,-7.2597,-34.9075,304.85,58,75,4.12,BR,1712587056
247,kristinestad,62.2743,21.376,279.32,95,97,3.93,FI,1712587056
248,nova sintra,14.8667,-24.7167,296.06,76,2,11.5,CV,1712586908
249,el calafate,-50.3408,-72.2768,275.23,74,78,1.22,AR,1712587057
250,salalah,17.0151,54.0924,302.2,65,40,4.12,OM,1712587057
251,kongolo,-5.3833,27.0,295.85,95,99,0.08,CD,1712587058
252,carrigaline,51.8117,-8.3986,279.01,93,75,11.83,IE,1712587058
253,lewistown,40.5992,-77.5714,284.35,73,0,0.0,US,1712586858
254,nhamunda,-2.1861,-56.7131,304.37,60,87,2.1,BR,1712587059
255,anadyr,64.75,177.4833,258.43,78,0,3.0,RU,1712587059
256,beeville,28.4008,-97.7483,296.27,94,100,1.54,US,1712586817
257,andergrove,-21.0833,149.1833,296.11,78,19,2.55,AU,1712587060
258,gowurdak,37.8124,66.0466,296.12,27,100,4.08,TM,1712587060
259,tadine,-21.55,167.8833,296.89,89,74,3.77,NC,1712587061
260,san luis de la loma,17.2706,-100.8939,301.2,48,3,2.22,MX,1712587061
261,spas-klepiki,55.1347,40.1767,288.11,67,85,2.95,RU,1712587062
262,jauja,-11.7758,-75.4966,286.76,59,80,0.57,PE,1712587062
263,nchelenge,-9.3451,28.734,297.56,76,100,1.15,ZM,1712587062
264,ruangwa,-10.0667,38.9333,297.21,95,100,1.34,TZ,1712587063
265,fortuna,40.5982,-124.1573,280.92,88,40,3.6,US,1712587063
266,mhamid,29.82,-5.72,307.73,8,0,0.84,MA,1712587064
267,luderitz,-26.6481,15.1594,290.81,83,50,3.4,NA,1712586893
268,nova xavantina,-14.6667,-52.35,301.97,73,93,1.5,BR,1712586602
269,baxter,46.3433,-94.2867,276.33,94,100,2.06,US,1712587065
270,neiafu,-18.65,-173.9833,298.53,94,75,4.12,TO,1712587065
271,carnarvon,-24.8667,113.6333,300.6,35,4,4.49,AU,1712587066
272,suva,-18.1416,178.4415,298.86,94,75,3.6,FJ,1712587066
273,puerto aysen,-45.4,-72.7,279.57,94,96,2.72,CL,1712586878
274,jerome,42.7241,-114.5186,276.31,86,0,2.57,US,1712587067
275,khanpur mahar,27.8436,69.4137,306.62,7,85,2.05,PK,1712587067
276,yaren,-0.5472,166.916,300.94,81,98,5.03,NR,1712587068
277,bulgan,48.8125,103.5347,280.45,63,100,2.35,MN,1712586971
278,vilyuchinsk,52.9306,158.4028,276.62,96,87,0.09,RU,1712587069
279,usogorsk,63.4106,48.6872,272.96,94,100,2.99,RU,1712587069
280,buarcos,40.166,-8.8768,289.08,67,7,10.2,PT,1712587070
281,delphos,40.8434,-84.3416,290.59,68,1,2.68,US,1712586792
282,ke-macina,13.9623,-5.3572,314.91,13,90,4.37,ML,1712587071
283,timbuktu,16.7735,-3.0074,314.85,6,76,0.9,ML,1712587071
284,minas de marcona,-15.2119,-75.1103,295.0,63,97,3.65,PE,1712587071
285,haiku-pauwela,20.9219,-156.3051,294.84,78,0,6.17,US,1712586890
286,luanda,-8.8368,13.2343,302.15,82,75,3.6,AO,1712586799
287,nogliki,51.8333,143.1667,270.01,94,30,3.13,RU,1712587073
288,coronel du graty,-27.6804,-60.9146,299.27,59,0,2.13,AR,1712587073
289,tazacorte,28.629,-17.9293,294.69,78,20,9.26,ES,1712587073
290,paris,48.8534,2.3488,296.96,57,75,5.66,FR,1712586908
291,ishigaki,24.3448,124.1572,297.22,88,75,3.6,JP,1712587075
292,broome,42.2506,-75.833,286.04,53,0,2.57,US,1712587075
293,togur,58.3631,82.8265,275.45,65,99,4.47,RU,1712587076
